{'queryset/testMaterial/imagesgravel7.jpeg': 0, 'queryset/testMaterial/indexgravel3.jpeg': 0, 'queryset/testMaterial/gravelTest2.jpeg': 0, 'queryset/testMaterial/indexgravel4.jpeg': 0, 'queryset/testMaterial/indexgravel5.jpeg': 0, 'queryset/testMaterial/indexgravel.jpeg': 0, 'queryset/testMaterial/imagesgravel9.jpeg': 0, 'queryset/testMaterial/imagesgravel8.jpeg': 0, 'queryset/testMaterial/indexgravel6.jpeg': 0, 'queryset/testMaterial/imagesgravel12.jpeg': 0, 'queryset/testMaterial/indexgravel10.jpeg': 0, 'queryset/testMaterial/imagesgravel13.jpeg': 0, 'queryset/testMaterial/indexgravel11.jpeg': 0, 'queryset/testMaterial/gravelTest111.jpeg': 0, 'queryset/testMaterial/indexgravel2.jpeg': 0}
[3, 8]
Displaying scores for queryset/testMaterial/imagesgravel7.jpeg ** 

trainset/gravel/gravel124.jpeg has score 0.008
trainset/gravel/gravel117.jpeg has score 0.008
trainset/gravel/gravel122.jpeg has score 0.008
trainset/gravel/gravel136.jpeg has score 0.009
trainset/mixture/mixture4.jpeg has score 0.012
trainset/gravel/gravel128.jpeg has score 0.013
trainset/sand/sand112.jpeg has score 0.013
trainset/mixture/mixture3.jpeg has score 0.013
trainset/sand/sand119.jpeg has score 0.018
trainset/gravel/gravel123.jpeg has score 0.018
trainset/sand/sand113.jpeg has score 0.019
trainset/bitumin/bitumin119.jpeg has score 0.021
trainset/gravel/gravel114.jpeg has score 0.021
trainset/sand/sand120.jpeg has score 0.024
trainset/gravel/gravel125.jpeg has score 0.025
trainset/sand/sand115.jpeg has score 0.026
trainset/gravel/gravel130.jpeg has score 0.027
trainset/sand/sand127.jpeg has score 0.028
trainset/sand/sand117.jpeg has score 0.028
trainset/mixture/mixture1.jpeg has score 0.028
trainset/gravel/gravel126.jpeg has score 0.03
trainset/sand/sand125.jpeg has score 0.034
trainset/mixture/mixture2.jpeg has score 0.035
trainset/mixture/mixture6.jpeg has score 0.037
trainset/sand/sand118.jpeg has score 0.038
trainset/mixture/mixture9.jpeg has score 0.039
trainset/mixture/mixture7.jpeg has score 0.039
trainset/sand/sand116.jpeg has score 0.043
trainset/gravel/gravel121.jpeg has score 0.043
trainset/sand/sand123.jpeg has score 0.046
trainset/gravel/gravel120.jpeg has score 0.046
trainset/gravel/gravel127.jpeg has score 0.046
trainset/mixture/mixture8.jpeg has score 0.046
trainset/sand/sand3.jpeg has score 0.048
trainset/sand/sand122.jpeg has score 0.05
trainset/mixture/mixture10.jpeg has score 0.055
trainset/sand/sand111.jpeg has score 0.055
trainset/mixture/mixture5.jpeg has score 0.058
trainset/bitumin/bitumin113.jpeg has score 0.06
trainset/bitumin/bitumin112.jpeg has score 0.061
trainset/bitumin/bitumin111.jpeg has score 0.063
